produk-href,produk_name,price,description,usia,brand,picture_src-src,category,tipe_produk,manfaat
https://babyzania.com/beli-popok/ivenet-grain-friend-snack-bayi-organik-strawberry,Ivenet Grain Friend Biscuit Snack Bayi 40gr - Strawberry,Rp 29.500,Ivenet Grain Biscuit Snack Bayi adalah makanan selingan bentuk roll rasa stroberi untuk anak usia 9 bulan keatas. Terbuat dari campuran 8 biji-bijian yang baik dan sehat untuk anak-anak.,"infant, toddler, kids",Ivenet,https://assets.babyzania.com/image/cache/catalog/1/1012101_main_42931737_20200604214059_01_1200-250x250.jpg,makanan,snack,"energi, protein"
https://babyzania.com/beli-popok/ivenet-grain-friend-snack-bayi-organik-blueberry,Ivenet Grain Friend Biscuit Snack Bayi 40gr - Blueberry,Rp 29.500,Ivenet Grain Biscuit Snack Bayi adalah makanan selingan bentuk roll rasa blueberry untuk anak usia 9 bulan keatas. Terbuat dari campuran 8 biji-bijian yang baik dan sehat untuk anak-anak.,"infant, toddler, kids",Ivenet,https://assets.babyzania.com/image/cache/catalog/1/2-clear-valves_hr-1000x1000-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/ivenet-grain-friend-snack-bayi-organik-cheese,Ivenet Grain Friend Biscuit Snack Bayi 40gr - Cheese,Rp 29.500,Ivenet Grain Biscuit Snack Bayi adalah makanan selingan bentuk roll rasa keju untuk anak usia 9 bulan keatas. Terbuat dari campuran 8 biji-bijian yang baik dan sehat untuk anak-anak.,"infant, toddler, kids ",Ivenet,https://assets.babyzania.com/image/cache/catalog/1/2-clear-valves_hr-1000x1000-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/ivenet-grain-friend-snack-bayi-organik-sweet-potato,Ivenet Grain Friend Biscuit Snack Bayi 40gr - Sweet Potato,Rp 29.500,Ivenet Grain Biscuit Snack Bayi adalah makanan selingan bentuk roll rasa Sweet Potato untuk anak usia 9 bulan keatas. Terbuat dari campuran 8 biji-bijian yang baik dan sehat untuk anak-anak.,"infant, toddler, kids ",Ivenet,https://assets.babyzania.com/image/cache/catalog/1/spectra-selang-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-makanan-susu/sun-biskuit-marie-susu-80-gr,Sun Marie Susu Snack Biskuit Bayi - 80 gr,Rp 8.300,"Biskuit Marie Susu yang dibuat khusus untuk adek bayi. Diformulasikan dengan gizi lengkap seimbang sebagai cemilan bernutrisi untuk dukung tumbuh kembang adek bayi. Dengan tekstur pas dan rasa yang enak, bantu penuhi kebutuhan gizi haruan, serta dengan gula yang lebih rendah dari biskuit marie biasa.","infant, toddler, kids ",SUN,https://assets.babyzania.com/image/cache/catalog/1/52526667_5d525509-eaf9-4eb5-84b7-be3fb0a58114_2048_2048-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-bubur-tim-ayam-kampung-tomat-wotel-8m-100gr,Promina Bubur Tim Ayam Kampung Kacang Polong 8 M+ - 100 gr,Rp 17.500,Tekstur agak kasar mirip bubur saring yang dapat menstimulasi kemampuan mengunyah dan mengigit serta menstimulasi pertumbuhan gigi. Terlengkap dalam pilihan rasa untuk melatih bayi dalam praktek menerima kombinasi rasa agar tidak menjadi “picky eater” dikemudian hari.,"infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/peachy straw-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-homemade-bubur-ayam-brokoli-labu-kuning-8m-100gr,Promina Homemade Bubur Ayam Brokoli Labu Kuning 8m+ - 100gr,Rp 21.000,"Promina Homemade adalah terobosan baru bubur dari Promina dengan proses pemasakan cukup 10 menit. Terbuat dari beras utuh, susu, daging dan sayuran kering. Promina Homemade dapat dikreasikan dengan makanan favorit si Kecil lainnya. Promina Homemade mengandung gizi lengkap dan tekstur tepat sesuai usia untuk perkembangan dan pertumbuhan otak dan fisik si Kecil. Dikhususkan untuk bayi 8 bulan keatas. Promina Homemade tersedia dalam 2 varian yaitu Salmon Kentang Wortel dan Ayam Brokoli Labu Kuning.","infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/pir-a-250x250.JPG,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-homemade-bubur-salmon-kentang-wortel-8m-100gr,Promina Homemade Bubur Salmon Kentang Wortel 8m+ - 100gr,Rp 21.000,"Promina Homemade adalah terobosan baru bubur dari Promina dengan proses pemasakan cukup 10 menit. Terbuat dari beras utuh, susu, daging dan sayuran kering. Promina Homemade dapat dikreasikan dengan makanan favorit si Kecil lainnya. Promina Homemade mengandung gizi lengkap dan tekstur tepat sesuai usia untuk perkembangan dan pertumbuhan otak dan fisik si Kecil. Dikhususkan untuk bayi 8 bulan keatas. Promina Homemade tersedia dalam 2 varian yaitu Salmon Kentang Wortel dan Ayam Brokoli Labu Kuning.","infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/labu-a-250x250.JPG,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/ivenet-finger-cheese-snack-bayi-cheese,Ivenet Finger Cheese Korean Snack Bayi 20 gr - Original / Blueberry,Rp 58.000,Ivenet Bebe Finger Cheese adalah produk yogurt yang diolah dengan menggunakan metode freeze drying untuk menjaga kebaikan nutrisi dan menyimpan 2 Milyar probiotik yang terkandung dalam keju serta buah-buahan serta dibuat dalam bentuk bulat kecil untuk membantu sang buah hati melatih otot kecil pada tangan dan jari-jari yang sangat baik untuk perkembangan motorik sang buah hati. Disarankan untuk anak usia 7 bulan keatas.,"infant, toddler, kids ",Ivenet,https://assets.babyzania.com/image/cache/catalog/1/2-clear-valves_hr-1000x1000-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-baby-silky-pudding-100-gr-tersedia-pilihan-rasa,Promina Silky Pudding Puding Bayi 100gr - Strawberry/ Cokelat,Rp 15.400,Promina Silky Pudding adalah Puding khusus bayi dengan tekstur lembut dan potongan buah asli. Promina Puding kaya akan susu sehingga tinggi kalsium cocok untuk bayi 8 bulan keatas. Promina Puding terdiri dari 2 varian rasa yaitu coklat dan strawberry. Promina Silky Puding dengan tekstur sangat lembut memberikan kebutuhan serat bagi si kecil.,"infant, toddler, kids ",Promina,https://assets.babyzania.com/image/cache/catalog/1/45b74dec72ba8aa21262da21aa274df3-250x250.jpg,makanan,snack,mpasi
